number,text,filename
231,ich,0231.mp3
232,ig,0232.mp3
233,ihn,0233.mp3
234,Ihnen,0234.mp3
235,Ihr,0235.mp3
236,Ihre,0236.mp3
237,im,0237.mp3
238,immer,0238.mp3
239,impossible,0239.mp3
240,in,0240.mp3
241,isch,0241.mp3
242,isst,0242.mp3
243,ist,0243.mp3
244,ja,0244.mp3
245,Jahr,0245.mp3
246,Jahre,0246.mp3
247,Januar,0247.mp3
248,Jetzt,0248.mp3
249,Joghurt,0249.mp3
250,jung,0250.mp3
251,Jänner,0251.mp3
252,kalt,0252.mp3
253,kann,0253.mp3
254,Kardinalzahlen,0254.mp3
255,kaufen,0255.mp3
256,kein,0256.mp3
257,keine,0257.mp3
258,keinen,0258.mp3
259,kennen,0259.mp3
260,Kinder,0260.mp3
261,Klemmbrett,0261.mp3
262,koche,0262.mp3
263,komme,0263.mp3
264,kommen,0264.mp3
265,konnte,0265.mp3
266,kostenlos,0266.mp3
267,krank,0267.mp3
268,Krankheit,0268.mp3
269,können,0269.mp3
270,Küche,0270.mp3
271,kühl,0271.mp3
272,lachen,0272.mp3
273,lang,0273.mp3
274,langsam,0274.mp3
275,laufen,0275.mp3
276,leben,0276.mp3
277,Lehrerin,0277.mp3
278,Leitpunkte,0278.mp3
279,lernen,0279.mp3
280,Lesen,0280.mp3
281,lieb,0281.mp3
282,lieber,0282.mp3
283,Lieblings,0283.mp3
284,Lieblingssport,0284.mp3
285,liegen,0285.mp3
286,liegt,0286.mp3
287,Links,0287.mp3
288,locker,0288.mp3
289,los,0289.mp3
290,losgehen,0290.mp3
291,lächeln,0291.mp3
292,machen,0292.mp3
293,malen,0293.mp3
294,Mama,0294.mp3
295,man,0295.mp3
296,manchmal,0296.mp3
297,Meine,0297.mp3
298,Mengenangaben,0298.mp3
299,mich,0299.mp3
300,Miete,0300.mp3
301,mindestens,0301.mp3
302,Minute,0302.mp3
303,Minuten,0303.mp3
304,mir,0304.mp3
305,Mirpurkhas,0305.mp3
306,mit,0306.mp3
307,mitkommen,0307.mp3
308,Modulzeugnis,0308.mp3
309,Modulzeugnisse,0309.mp3
310,Moin,0310.mp3
311,Moin!,0311.mp3
312,Monatsbeitrag,0312.mp3
313,morgen,0313.mp3
314,muss,0314.mp3
315,musst,0315.mp3
316,musste,0316.mp3
317,möbl,0317.mp3
318,möbliert,0318.mp3
319,möchte,0319.mp3
320,möchten,0320.mp3
321,möchtest,0321.mp3
322,möchtet,0322.mp3
323,mögen,0323.mp3
324,müde,0324.mp3
325,müssen,0325.mp3
326,nach,0326.mp3
327,Nachname,0327.mp3
328,neben,0328.mp3
329,neblig,0329.mp3
330,Negativartikel,0330.mp3
331,nein,0331.mp3
332,Nein!,0332.mp3
333,nen,0333.mp3
334,neu,0334.mp3
335,neunundneunzig,0335.mp3
336,neunzehn,0336.mp3
337,neunzehnhundertfünfundsiebzig,0337.mp3
